"recipe.link","recipe.name","recipe.author","recipe.description","recipe.instructions","img","img.css"
"/recipes/1016603-three-sheets-to-the-watermelon","Three Sheets to the Watermelon","Robert Simonson","This summer cocktail is essentially a variation on the watermelon margarita that eliminates the blender and the Curaçao and adds some fun and easy prep work. The result is thick, fresh and fruity — a drink that poses no danger of your interrupting your backyard barbecue with deep thoughts.","Take one of the watermelon halves and, using a fork or knife, score the red interior in one direction and then the other, creating a grid of squares. (Refrigerate the remaining half for other uses.) Slowly pour 1 cup of the tequila into the scored melon half, taking care to spread it around. Let melon macerate overnight, or for a few hours, in refrigerator. Scoop out 2 heaping tablespoons of the watermelon and add to a cocktail shaker 3/4 filled with ice. Be sure to get some liquid as well as chunks of fruit. Add the remaining ounce of tequila, the lime juice and the simple syrup. Shake vigorously so the melon chunks break up into slush and the drink chills, about 30 seconds. Pour into a 10-ounce rocks glass. Add more ice if needed. Note: To make simple syrup, warm 1 cup sugar in 1 cup water in a saucepan over low heat until dissolved. Cool to room temperature before using. (There will be extra syrup; refrigerate if not using immediately.)","09DOE_DRINK-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016532-root-beer-butterfest-float","Root Beer Butterfest Float","Robert Simonson","This low-alcohol, post-dinner drink tastes a bit like a root beer float after the ice cream has melted. It is named after the Butter Festival that takes place every June in Mr. Bartels’s hometown, Reedsburg, Wis. If you have a butter cookie or vanilla wafer on hand, it makes a nice accompaniment.","Into a Collins glass filled with ice, pour Kringle Cream and Root liqueur and top with club soda. Stir briefly. Add straw.","04LIQUEUR-videoSixteenByNine310-v2.jpg","fixed-height"
"/recipes/1016533-lake-delton-mule","Lake Delton Mule","Robert Simonson","This simple drink is a spin on the classic vodka-and-ginger-beer drink, the Moscow Mule. The combination of genepy, an herbal Alpine liqueur, the sweet snap of the Wondermint and the tangy bite of the ginger beer makes for a refreshing summer cocktail. The drink is named after a small town in Wisconsin where Mr. Bartels had his first restaurant job.","In rocks glass filled with ice, combine all the liquid ingredients. Stir until chilled, about 30 seconds. Garnish with candied ginger.","04LIQUEUR-videoSixteenByNine310-v2.jpg","fixed-height"
"/recipes/1016384-slow-clap","Slow Clap","Robert Simonson","The bartender Ivy Mix’s inspiration for this drink began with an appreciation for Greenflash’s very hoppy West Coast IPA, and a wish to round out its character with softer flavors. A calming, floral chamomile syrup and the mild amaro Cardamaro serve that purpose, while the barrel-aged Spring 44 Old Tom Gin adds structure and a different edge to match that of the beer. The hops and tannins notwithstanding, this is a drink with an appealingly citrusy, floral personality.","In a cocktail shaker three-quarters filled with ice, combine all ingredients except the beer and lemon wheel. Shake until chilled, about 30 seconds. Strain into a pilsner glass filled with ice. Top with beer. Stir briefly with a bar spoon to integrate ingredients. Garnish with lemon wheel.","21BEER2-largeHorizontal375.jpg","fixed-height"
"/recipes/1016352-pink-gin","Pink Gin","Rosie Schaap","It’s gin. It’s pink. It’s an elegant drink due for a revival.","Add Angostura bitters to a chilled old-fashioned glass and swirl to coat glass; pour off excess. Add gin and, if you like, ice and a splash of soda water.","sumdrinks-pinkgin-site-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016367-tequila-and-watermelon","Tequila and Watermelon","Rosie Schaap","The most crowd-pleasing summer highball there is: a little sweet, a little spicy and exuberantly pink.","Fill a highball glass with ice and add tequila, watermelon, salt and a squeeze of lime. Top with soda water. Float a couple of slices of jalapeño on the drink to garnish.","sumdrinks-teqwatmel-site-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016385-fade-to-black","Fade to Black","Robert Simonson","A spin on the old drink category of the flip — which involves the use of a whole egg — the Fade to Black illustrates the potential versatility of cocktails using beer. Rich, dessertlike and potent, this is that rare beast: an after-dinner beer cocktail. Using raw egg has become a common practice in cocktail bars over the past decade. There is no good substitute for the texture and flavor that a raw egg lends, so readers who fear contamination may want to refrain.","In a cocktail shaker, combine all ingredients except the beer, and shake until integrated, about 30 seconds. Fill three-quarters full with ice and shake for another 30 seconds. Strain into an 8-ounce highball glass with no ice. Top with the beer. Stir briefly with a bar spoon to integrate ingredients.","beer-fadetoblack-videoSixteenByNine310-v2.jpg","fixed-height"
"/recipes/1016392-the-catcher","The Catcher","Florence Fabricant","The maraschino liqueur in this cocktail adds depth and richness, and marries well with the rye.","Shake all ingredients except lime wedges in a cocktail shaker with ice. Strain into two old-fashioned glasses filled with ice. Garnish with lime wedges.","21MARASCHINO2-largeHorizontal375.jpg","fixed-height"
"/recipes/1016363-pina-colada","Piña Colada","Rosie Schaap","An irresistible tiki classic, and an occasion to pull out the paper umbrellas. Just beware of brain freeze.","Add rum, pineapple juice, cream of coconut and ice to blender. Blend until smooth and frosty; add more ice as necessary. Pour into tall glasses and garnish with pineapple slices and maraschino cherries (and paper umbrellas, if you have them).","sumdrinks-pinacolada-sit-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016368-tequila-sour","Tequila Sour","Rosie Schaap","Sours aren’t just for whiskey; tequila lightens things up. For extra froth, use egg white when you shake the drink.","Fill a shaker with ice, and add all ingredients except half-wheel of orange. Shake vigorously. Strain into an old-fashioned glass over ice. Garnish with the orange.","sumdrinks-teqsour-site-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016386-jardin-fresca","Jardin Fresca","Robert Simonson","As advertised, there’s quite a bit of the garden in this drink: elderflowers from the St. Germain; artichoke, rhubarb and other flavors from the Cynar; as well jalapeño, celery and cucumber. The celery bitters hit your nose and taste buds first, while the pepper-infused tequila leaves you with a pleasant, lasting kick. The cocktail is easy to drink, but never dull.","In a cocktail shaker three-quarters filled with ice, combine all ingredients except the salt and beer. Shake until chilled, about 30 seconds. Moisten the rim of a 12-ounce highball or pilsner glass with salt, and fill with 2 sizable ice cubes. Strain contents of mixing glass into salted glass. Top with beer. Stir briefly with a bar spoon to integrate ingredients.","beer-jardinfresca-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016393-brunch-punch","Brunch Punch","Maria Newman","Hearth restaurant serves this refreshing punch at their Sunday brunch, which they prepare with Finger Lakes Distilling Seneca Drums Gin from New York.","In a large pitcher, combine all the liquids; stir gently. Float some of the wheels of cucumber and oranges on the punch. Ladle punch into rocks glasses filled with ice, and garnish with cucumber and orange.","21PUNCH2-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016369-rum-julep","Rum Julep","Rosie Schaap","Rum and mint make a great pair, with plenty of crushed ice. If you don’t have an ice crusher, put ice cubes between two clean dish towels and bang on them with a hammer or meat tenderizer.","Muddle mint with simple syrup in a julep glass or old-fashioned glass. Fill glass with crushed ice. Add light rum and stir well, until glass frosts. Garnish with mint sprigs.","sumdrinks-rumjulep-site-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016387-yukon-cornelius","Yukon Cornelius","Robert Simonson","The bartender Natasha David likes to create beer cocktails because she doesn’t like beer and wants to “make it taste better.” With this drink, she did so by combining it with a sprawling and unlikely array of flavors: herbal aquavit, sweet peach liqueur, spicy ginger syrup and smoky mezcal. The flavorful result is bright, fruity and unexpected.","In a cocktail shaker three-quarters filled with ice, combine all ingredients except the beer, lemon wheel and ginger. Shake until chilled, about 30 seconds. Strain into 10-ounce highball glass half-filled with ice. Top with beer. Stir briefly with bar spoon to integrate ingredients. Garnish with lemon wheel and piece of candied ginger.","beer-yukoncornelius-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016394-chairmans-reserve","Chairman’s Reserve","Maria Newman","Jim Meehan of PDT in Manhattan uses an extractor to get cucumber juice for this punch. You can buy cucumber juice from your local juice store too.","Juice the cucumbers, skin and all, in a juicer, food processer or blender and strain. Combine all ingredients in a bowl and add a block of ice. Ladle into cups; garnish with cucumber slice.","21PUNCH3-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016383-high-five","High Five","Robert Simonson","This drink is a little miracle in liquid prestidigitation: five ingredients (three of them alcoholic) getting together to assume the guise of an innocent cherry cola. That flavor profile was exactly the intention of the bartender Jeff Lyon, who set out to make an alcoholic cola that tasted like “more than the sum of its parts.”","In a cocktail shaker three-quarters filled with ice, combine all ingredients except the beer and orange wheel. Shake until chilled, about 30 seconds. Strain into a Collins glass filled with ice. Top with the beer. Stir briefly with a bar spoon to integrate ingredients. Garnish with orange wheel.","21BEER3-largeHorizontal375.jpg","fixed-height"
"/recipes/1016390-afton-club-punch","Afton Club Punch","Maria Newman","David Wondrich, the mixologist and author, said this punch, which begins with a sugar and lemon peel 'shrub,'' is 'lowish on the alcohol, and slightly unusual. People like it when I make it.''","Make the shrub: Peel lemons with a vegetable peeler, avoiding pith. Juice lemons and set juice aside. Place peels and sugar in a Mason jar, seal and shake. Leave jar in the sun for 3 to 4 hours or overnight. Add reserved lemon juice and shake until sugar is dissolved. Will keep for several days refrigerated. In a gallon bowl or pitcher, combine shrub (peels and all) with all the liquids; stir gently. Add a 1-quart block of ice (made by freezing a quart container of water overnight). Grate nutmeg on top and ladle into small serving glasses.","21PUNCH1-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016279-bourbon-brule","Bourbon Brûlé","Florence Fabricant","I mixed bourbon, ginger liqueur and sherry with a little fresh orange juice. And in a moment of inspiration, I gussied up the orange garnish by caramelizing the slices before placing them afloat in the drinks. I loved the way it looked and how it tasted. The sweet seared orange perfumes every sip.","Slice the orange in half horizontally. Cut a thin slice (no more than 1/8 inch) from each half. Coat one side of each slice with the sugar. Heat a small, heavy skillet, preferably cast iron, on high. Place the orange slices, sugar-side down, in the skillet and sear for a couple of minutes, until lightly caramelized. Remove from pan and let cool, browned side up. Juice the rest of the orange; you should have about 1/4 cup. Combine bourbon, sherry, ginger liqueur and orange juice in a cocktail shaker with a few ice cubes. Stir briefly to chill. Strain over ice into two rocks glasses. Place an orange slice, caramelized side up, directly in each glass, sitting on top of the rocks. Serve.","30PAIR2-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016278-noreaster","Nor’easter","Florence Fabricant","Sean Josephs opened my eyes (and palate) to bourbon’s affinity for ginger. The Nor’easter he serves at Maysville and Char No. 4 is a simple, lightly sweetened example of bourbon and lime, topped off with a splash of ginger beer.","Combine syrup, lime juice and bourbon in a small pitcher or cocktail shaker. If possible, let mixture chill in refrigerator or freezer until very cold. Pour over ice in a rocks glass and top with ginger beer. Depending on the sweetness of the ginger beer, you may want to add a little more lime juice. Garnish with a lime slice.","30PAIR1-videoSixteenByNine310-v2.jpg","fixed-height"
"/recipes/1016280-bufala-negra","Bufala Negra","Florence Fabricant","At Philip Marie in Greenwich Village, John Greco uses ginger beer to top a bourbon cocktail seasoned with a splash of good balsamic vinegar, a slight variation on the original made with balsamic syrup and ginger ale, which was created by Jerry Slater of H Harper Station in Atlanta.","Muddle sugar, vinegar and 4 basil leaves in a cocktail shaker. Add bourbon and ice and shake to dissolve sugar. Strain over ice into old-fashioned glass, top with ginger beer and garnish with basil. Serve.","30PAIR3-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016276-bourbon-milk-punch","Bourbon Milk Punch","Robert Simonson","With a place of honor in the New Orleans drink pantheon alongside the Sazerac and the Ramos Gin Fizz, bourbon milk punch is enjoyed morning and night in the Crescent City, but most commonly at brunch. Restaurants and bars often pride themselves on their particular rendition. This one comes from the famed French 75 Bar in Arnaud’s restaurant in the French Quarter. It is easily whipped up before or after a meal, and offers near-immediate gratification.","In a mixing glass three-quarters filled with ice, pour the bourbon, rum, milk or cream, vanilla and simple syrup. Shake vigorously until chilled, about 30 seconds. Strain into a rocks glass. Dust with nutmeg.","27.png","pattern-27 fixed-height"
"/recipes/1016228-jungle-bird","Jungle Bird","Robert Simonson","This tiki drink, believed to have been invented at the Kuala Lumpur Hilton in 1978, has recently lurched from obscurity to ubiquity. It is a favorite among mixologists, and a natural for home bartenders, because it contains only five ingredients: rum, Campari, pineapple and lime juices and simple syrup. The New York bartender Giuseppe Gonzalez tweaked the original, replacing dark Jamaica rum with the more intense blackstrap rum.","In a mixing glass three-quarters filled with ice, pour 1/2 ounce of simple syrup, the rum, the Campari, the pineapple juice and the lime juice. Shake until chilled, about 30 seconds. Strain into a rocks glass over one large piece of ice. Top with pineapple wedge.","09JUNGLE-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Lainey Collum’s Down the Rabbit Hole","Lainey Collum","","Shake all ingredients with ice, double strain into coupes. Garnish with dried enoki mushrooms.","30bartender3-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016174-dave-arnolds-italiano-stalliano","Dave Arnold’s Italiano Stalliano","Dave Arnold","","Make sure your freezer is set to its coldest setting. Combine all ingredients in a Ziploc bag, as airtight as possible, and place in freezer. Freezing will take several hours. (It is best to make the mix in the morning and serve it in the evening. The quality of the lemon juice will degrade gradually if it is stored longer.) The mix will never get completely solid because of the alcohol and sugar. When ready to serve, blend for a few seconds until it becomes homogeneous. Serve in coupe glasses.","30bartender6-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Jamie Boudreau’s Chocolate Milk","Jamie Boudreau","","Add all ingredients to a soda siphon, and charge with one N2O cartridge. Serve in a fun glass, with a side of Fernet Branca ‘‘Oreo’’ cookies.","mag-30Bartenders-t_CA0-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016188-tony-conigliaros-spitfire","Tony Conigliaro’s Spitfire","Tony Conigliaro","","Combine the cognac, lemon juice, egg white, sugar syrup and crème de peche in a cocktail shaker. Dry shake (no ice), then shake with ice cubes. Strain into a large, chilled coupette, and pour in the dry white wine last. (This avoids aerating and diluting the flavor of the wine.)","30bartender4-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","Todd Maul’s Rhum Agricole Daiquiri","Todd Maul","","Shake rhum, lime juice and cinnamon syrup with ice, and strain into rocks glasses over fresh ice. In a small, heavy saucepan, dissolve sugar in water. Burn 5 cinnamon sticks all over with a small crème-brûlée-type torch. Break up sticks and add to syrup while still warm. Transfer to an airtight container and chill for a day. Strain. Store in refrigerator to use for daiquiris. (Makes enough to last all summer, or at least one great party.)","30bartender7-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016121-irish-coffee","Irish Coffee","Robert Simonson","Jack McGarry, a co-owner of the dead Rabbit bar in Lower Manhattan, is so particular about his Irish coffee that he arranged a search for the best cream available in the Northeast. He settled on Trickling Springs, available at the Stinky Bklyn cheese shop in Brooklyn. But any good cream (and Irish whiskey) will do, as long as you use high-quality, freshly brewed coffee and very cold whipped cream. Making the sugar syrup takes a few more minutes, but pays off in a subtle sweetness.","Warm an Irish coffee glass or mug by filling with hot water, then draining. Make Demerara syrup: Put the sugar and 1/2 cup water into a small saucepan; place over low heat, stirring until sugar dissolves. Let cool. Whip the cream in a cold mixing bowl until it acquires a ropy consistency. Quickly place in refrigerator until needed. Build the drink in the warmed glass: put in 1/2 ounce of syrup (store the rest in refrigerator for future drinks), then the whiskey, then the coffee. Gently spoon cream onto the top until cream is at least 3/4 -inch thick; if whipped properly, it should float. Dust with nutmeg.","12COFFEE-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016108-the-sanctimonious-kid","The Sanctimonious Kid","Robert Simonson","At many bars, cocktails tend to come these days in boat-size portions. But some New York City bars, like the one at Wylie Dufresne’s Alder restaurant, offer so-called short drinks that are about the half the size of a regular serving. This one, named for an Old West bandit, is made ahead of time and dispensed from a tap at Alder. At home, you can mix it yourself — and double the measurements if you want the full-size version. Infusing your own tequila requires a little forethought but not much work, and produces enough to spice up future drinks.","Put the tequila and bay leaves into a blender and blend at a high speed until you can’t see any big chunks of bay leaf. Strain into a jar and cover. Allow to settle overnight. The next day, carefully pour the clarified tequila into another jar and discard the settled bay leaves. (You will lose about 5 percent of the tequila with the leaves.) In a mixing glass three-quarters full of ice, pour 3/4 ounce of the infused tequila. (Save the remainder for future drinks.) Add the Pimm’s, orange juice and lime juice and shake until chilled, about 30 seconds. Strain into a rocks glass filled with ice. Top with club soda and the orange twist.","05SHORT2-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016028-the-improved-dirty-martini","The Improved Dirty Martini","Robert Simonson","“Dirty martini” is a dirty word for many bartenders who find the drink — a martini with a salty slop of olive brine — unimaginative and unappetizing. Naren Young, a New York bartender, decided to create a better version, called Olives 7 Ways, with several bespoke ingredients. That cocktail, served at Saxon & Parole, is fairly complicated to make, so Mr. Young came up with yet another, easier variation for the home bartender.","Combine vermouth and chopped olives in a sealed glass container and let sit for 3 days. Shake periodically. Chill a cocktail glass by filling it with ice or putting it in the freezer for about 5 minutes. In a mixing glass filled three-quarters full with ice, pour the gin and 1 1/2 ounces of the infused vermouth. Stir until chilled, about 30 seconds, and strain into the chilled glass. Carefully drip a few drops of olive oil (with an eye-dropper, if possible) onto the drink’s surface. Serve with a small dish of mixed olives.","12DIRTY1-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016010-stone-fence","Stone Fence","Rosie Schaap","","Pour rye into a pint glass, then add ice and bitters, top up with cider and garnish with apple.","02drink4-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1016009-boulevardier","Boulevardier","Robert Simonson","This simple cocktail, basically a Negroni made with whiskey instead of gin, dates back to the late 1920s, but has recently enjoyed a comeback in bars across the country. It even inspired the name of the Dallas restaurant that supplied this recipe.","Chill a cocktail glass by filling with ice or putting in freezer for about 5 minutes. Pour the liquid ingredients into a mixing glass. Fill mixing glass 2/3 full of ice and stir until chilled, about 30 seconds. Strain into cocktail glass. Garnish with orange twist.","29DRINK2-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1015790-turkey-legs","Turkey Legs","Robert Simonson","This holiday drink is “Bob Hope’s Christmas in Hawaii” in a glass: a tiki-like creation with some spice, owing to the rum and allspice dram, and tropical notes from the mint and lime. Its creator, Jon Santer — the proprietor of The Prizefighter, a bar in Emeryville, Calif. — says it’s easy to make: “It requires no special tools, not even a shaker tin or a strainer or anything. Most importantly, it requires no technique. It’s easily batched and has no time-sensitive ingredients like sparkling wine or soda, so one could make the whole thing ahead of time, measure 3.25 ounces into glasses and be ready to swizzle when guests arrive.”","Make honey syrup: In a small saucepan, mix the honey with 1/4 cup hot water from the tap. Simmer over low heat, stirring, until integrated. Set aside to cool, about 5 minutes. In a tall glass, combine the brandy, rum, lime juice and Allspice Dram with 1/2 ounce of the honey syrup. (Remaining syrup can be refrigerated for up to 1 week.) Half-fill glass with crushed ice and stir with a bar spoon or chopstick until the outside of the glass begins to frost. Add more crushed ice until it forms a small mound above the rim of the glass. Garnish by tucking the mint sprig between the ice and the glass, and insert a straw. Dash bitters over the mound of ice to give the drink a pink “hat.”","video-holiday-drinks-turkey-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1015796-grapefruit-tini","Grapefruit-tini","Jennifer Steinhauer And Helene Cooper","Top-shelf vodka and fresh grapefruit juice topped with prosecco: a refreshing holiday cocktail.","Make simple syrup: In a small saucepan, mix the sugar with 1 cup water. Simmer over low heat until sugar dissolves. Set aside to cool, about 5 minutes. In a large shaker, combine the grapefruit juice, vodka and 1 tablespoon simple syrup. (Remaining syrup can be refrigerated for up to 1 week.) Add ice cubes and shake well. Strain into martini glass, and float (do not mix) prosecco in glass.","20131211-AMATEURS-slide-XOCK-largeHorizontal375.jpg","fixed-height"
"/recipes/1015801-red-rooster","Red Rooster","Jennifer Steinhauer And Helene Cooper","Mix vodka, orange juice concentrate and cranberry-tangerine juice in a pitcher and freeze for at least five hours.","In a 2 1/2-quart freezer-safe container, mix together all the ingredients. Cover and freeze for at least 5 hours, or up to 1 week; the mixture will become slushy but will not solidify. To serve, spoon into martini glasses.","20131211-AMATEURS-slide-VM68-tmagSF.jpg","fixed-height"
"/recipes/1015782-bitter-coffee","Bitter Coffee","Robert Simonson","Maksym Pazuniak, who has tended bar at Cure in New Orleans and The Counting Room in Williamsburg, Brooklyn, is a devotee of challenging tastes. Bitter Coffee, a hot, creamy concoction suited to the winter holidays, takes as its base Cynar, the bittersweet Italian liqueur that incorporates flavors of artichoke and rhubarb, among others. A few minutes of easy whisking over a stove yields a full-flavored mugful in which the maple-vanilla roundness of the drink are snapped to attention by the edgy amaro and steaming coffee.","Fill a small saucepan halfway with water. Over medium heat, bring to a gentle boil. In a heat-safe bowl about the same diameter as the saucepan, whisk together the Cynar, rum, maple syrup, egg yolk and vanilla. Place bowl on top of the saucepan, as water continues boiling, and whisk mixture for about another 2 to 3 minutes, just long enough to warm it and thicken it slightly. Pour mixture into an Irish coffee mug and top with the coffee while stirring. Grate whole nutmeg or sprinkle ground nutmeg over top.","video-holiday-drinks-coffee-videoSixteenByNine310.jpg","fixed-height"
"/recipes/1015795-mott-and-mulberry","Mott and Mulberry","Robert Simonson","Leo Robitschek, bar manager at The NoMad in Manhattan, named this cocktail for two Little Italy streets, in homage to its Italian and American ingredients. He aimed to create a drink that was festive, like a hot spiced cider, while avoiding the rich excesses of some traditional holiday tipples. The cocktail is basically a whiskey sour armed with two secret weapons: the distinctly sweet-tart flavor of Honeycrisp apple juice and Amaro Abano, which the bartender called a “spice bomb, adding cinnamon and clove notes while adding a pleasant bitterness.” It is suited for the cocktail hour, or just before dinner.","Make Demerara syrup: In a small saucepan, mix the sugar with 1 cup water. Simmer over low heat until sugar dissolves. Set aside to cool, about 5 minutes. Make apple juice: Core and peel 1 of the apples; liquefy in a juicer or blender. In a cocktail shaker, combine 3/4 ounce of the apple juice with the rye whiskey, Amaro, lemon juice and 1/2 ounce of the Demerara syrup. (Remaining syrup can be refrigerated for up to 1 week.) Add ice and shake. Strain into a rocks glass with a few fresh ice cubes. Core the remaining apple; cut 3 to 5 thin slices (leave the peel on). Skewer at one end with a toothpick and spread slices like a fan.","video-holiday-drinks-mott-1-videoSixteenByNine310.jpg","fixed-height"
