"ingredient.group","ingredient.subgroup","ingredient","as.written"
"Bottle","Liqueur-Coffee","Galliano","ounce galliano, or galliano l’autentico if available"
"Bottle","Liqueur-Cream-Spiced","Kringle Cream","ounce kringle cream"
"Bottle","Liqueur-Currant","Crème de Cassis","tablespoons crème de cassis"
"Bottle","Liqueur-Currant","Crème de Cassis","ounce crème de cassis"
"Bottle","Liqueur-Currant","Crème de Cassis","tablespoons cassis"
"Bottle","Liqueur-Elderflower","St-Germain","ounce st. germain"
"Bottle","Liqueur-Elderflower","St-Germain","ounce st.-germain liqueur"
"Bottle","Liqueur-Elderflower","St-Germain","ounce st. germain liqueur"
"Bottle","Liqueur-Elderflower","St-Germain","ounce st-germain"
"Bottle","Liqueur-Elderflower","St-Germain","ounce elderflower liqueur"
"Bottle","Liqueur-Elderflower","St-Germain","ounce elderflower liqueur, like st.-germain"
"Bottle","Liqueur-Elderflower","St-Germain","ounce st-germain elderflower liqueur"
"Bottle","Liqueur-Gentian","Gentian","ounces aveze (gentian liqueur)"
"Bottle","Liqueur-Ginger","Domaine de Canton","ounces domaine de canton ginger and cognac liqueur"
"Bottle","Liqueur-Ginger","House Liqueur Ginger","ounce ginger liqueur"
"Bottle","Liqueur-Ginger-Spiced","Snap","ounce snap liqueur"
"Bottle","Liqueur-Grape","Grappa","ounces grappa"
"Bottle","Liqueur-Hazelnut","Frangelico","ounces frangelico"
"Bottle","Liqueur-Herbal","B&B","ounces b&b liqueur"
"Bottle","Liqueur-Herbal","Bénédictine","½ ounce bénédictine"
"Bottle","Liqueur-Herbal","Bénédictine","¼ ounce bénédictine"
"Bottle","Liqueur-Herbal","Bénédictine","ounce bénédictine"
"Bottle","Liqueur-Herbal","Bénédictine","ounce (1 tablespoon) benedictine"
"Bottle","Liqueur-Herbal","Dolin Génépi","ounce génépi liqueur, preferably dolin"
"Bottle","Liqueur-Herbal","Green Chartreuse","teaspoon green chartreuse"
"Bottle","Liqueur-Herbal","Green Chartreuse","tablespoons green chartreuse"
"Bottle","Liqueur-Herbal","Green Chartreuse","ounce green chartreuse"
"Bottle","Liqueur-Herbal","Strega","ounce strega"
"Bottle","Liqueur-Herbal","Yellow Chartreuse","¼ ounce yellow chartreuse"
"Bottle","Liqueur-Herbal","Yellow Chartreuse","bar spoon yellow chartreuse"
"Bottle","Liqueur-Herbal","Yellow Chartreuse","ounce yellow chartreuse"
"Bottle","Liqueur-Herbal","Yellow Chartreuse","ounces yellow chartreuse"
"Bottle","Liqueur-Hibiscus","Sorel","ounce sorel liqueur"
"Bottle","Liqueur-Honey","Drambuie","ounce drambuie"
"Bottle","Liqueur-Honey","Drambuie","ounce drambuie liqueur"
"Bottle","Liqueur-Honey","Irish Mist","ounces irish mist"
"Bottle","Liqueur-Mango","Fruja Mango Hiram Walker","ounces of hiram walker fruja mango"
"Bottle","Liqueur-Melon","Melon Midori","ounce midori melon liqueur"
"Bottle","Liqueur-Melon","Melon Midori","cups midori melon liqueur"
"Bottle","Liqueur-Mint","Brancamenta","ounce branca menta"
"Bottle","Liqueur-Mint","Wondermint","ounce wondermint"
"Bottle","Liqueur-Orange","Blue Curaçao","ounce blue curaçao"
"Bottle","Liqueur-Orange","Cointreau","ounce cointreau"
"Bottle","Liqueur-Orange","Cointreau","ounce triple sec or cointreau"
"Bottle","Liqueur-Orange","Cointreau","oz. cointreau"
"Bottle","Liqueur-Orange","Cointreau","tablespoons cointreau"
"Bottle","Liqueur-Orange","Cointreau","tablespoon cointreau"
"Bottle","Liqueur-Orange","Cointreau","splash of cointreau"
"Bottle","Liqueur-Orange","Cointreau","ounce of cointreau"
"Bottle","Liqueur-Orange","Cointreau","ounce cointreau or triple sec"
"Bottle","Liqueur-Orange","Cointreau","750-milliliter bottle cointreau"
"Bottle","Liqueur-Orange","Cointreau","dash cointreau"
"Bottle","Liqueur-Orange","Cointreau","tablespoons orange liquor such as triple sec or cointreau"
"Bottle","Liqueur-Orange","Gran Gala","ounce orange liqueur (preferably gran gala)"
"Bottle","Liqueur-Orange","Grand Marnier 100-Year-Old","splash of 100-year-old grand marnier"
"Bottle","Liqueur-Orange","Grand Marnier","ounces grand marnier"
"Bottle","Liqueur-Orange","Grand Marnier","ounce grand marnier"
"Bottle","Liqueur-Orange","Grand Marnier","dash of grand marnier"
"Bottle","Liqueur-Orange","Grand Marnier","teaspoon grand marnier"
"Bottle","Liqueur-Orange","House Orange Liqueur","cup orange liqueur"
"Bottle","Liqueur-Orange","House Orange Liqueur","ounce orange liqueur"
"Bottle","Liqueur-Orange","Orange Curaçao","ounce orange curacao"
"Bottle","Liqueur-Orange","Orange Curaçao","½ ounce orange curaçao"
"Bottle","Liqueur-Orange","Orange Curaçao","¾ ounce orange curaçao"
"Bottle","Liqueur-Orange","Orange Curaçao","teaspoon orange curaçao or cointreau"
"Bottle","Liqueur-Orange","Orange Curaçao","teaspoon orange curaçao"
"Bottle","Liqueur-Orange","Orange Curaçao","ounce curaçao"
"Bottle","Liqueur-Orange","Orange Curaçao","ounces orange curaçao"
"Bottle","Liqueur-Orange","Orange Curaçao","½ ounce orange curaçao or cointreau"
"Bottle","Liqueur-Orange","Orange Curaçao","teaspoon curaçao liqueur"
"Bottle","Liqueur-Orange","Orange Torres","cup torres orange liqueur or triple sec"
"Bottle","Liqueur-Orange","Pierre Ferrand Dry Curaçao","ounce pierre ferrand dry curaçao"
"Bottle","Liqueur-Orange","Pierre Ferrand Dry Curaçao","ounce dry curaçao, preferably pierre ferrand"
"Bottle","Liqueur-Orange","Triple Sec","splash of triple sec"
"Bottle","Liqueur-Orange","Triple Sec","tablespoons of triple sec"
"Bottle","Liqueur-Orange","Triple Sec","tablespoon triple sec"
"Bottle","Liqueur-Orange","Triple Sec","cup triple sec"
"Bottle","Liqueur-Orange","Triple Sec","tablespoons triple sec"
"Bottle","Liqueur-Orange","Triple Sec","ounce triple sec"
"Bottle","Liqueur-Passion Fruit","Alizé","ounce alizé"
"Bottle","Liqueur-Peach","Crème de Pêche","½ ounce crème de pêche"
"Bottle","Liqueur-Peach","Leopold Brothers Peach","tablespoon (1/2 ounce) peach liqueur, preferably leopold brothers or mathilde"
"Bottle","Liqueur-Peach","Mathilde Pêche","ounces mathilde or other peach liqueur"
"Bottle","Liqueur-Peach","Peach Giffard","ounce peach liqueur, preferably giffard"
"Bottle","Liqueur-Peach","Peach Schnapps","tablespoons peach flavor schnapps"
"Bottle","Liqueur-Pear","Carneros Pear de Pear","ounces carneros pear de pear"
"Bottle","Liqueur-Pear","House Pear Liqueur","ounce pear liqueur"
"Bottle","Liqueur-Pimm's","Pimm’s no. 1","ounce pimm’s no. 1"
"Bottle","Liqueur-Pimm's","Pimm’s no. 1","ounces pimm’s no. 1"
"Bottle","Liqueur-Pimm's","Pimm’s no. 1","teaspoon pimm’s no. 1"
"Bottle","Liqueur-Pimm's","Pimm’s no. 1","ounce pimm’s"
"Bottle","Liqueur-Pine","House Pine Liqueur","ounce pine liqueur"
"Bottle","Liqueur-Raspberry","Chambord Liqueur Royale de France","ounce chambord liqueur royale de france"
"Bottle","Liqueur-Raspberry","Créme de Framboise","ounce créme de framboise"
"Bottle","Liqueur-Root","House Root Liqueur","ounce root liqueur"
"Bottle","Liqueur-Tropical","Hpnotiq","ounce of hpnotiq"
"Bottle","Liqueur-Velvet Falernum","Velvet Falernum","ounce john d. taylor’s velvet falernum liqueur"
"Bottle","Liqueur-Velvet Falernum","Velvet Falernum","ounce velvet falernum"
"Bottle","Liqueur-Wanut","Nocino Watershed","ounce nocino, preferably watershed"
"Bottle","Liqueur-Whiskey","Southern Comfort","ounce southern comfort"
"Bottle","Liqueur-Whiskey","Southern Comfort","ounces southern comfort"
"Bottle","Mezcal","Del Maguey Tobala","ounce mezcal, preferably del maguey tobala, or more to taste"
"Bottle","Mezcal","Del Maguey Vida","ounce mezcal, preferably del maguey vida"
"Bottle","Mezcal","Fidencio Clasico","ounces fidencio clasico mezcal"
"Bottle","Mezcal","House Mezcal","ounces mezcal"
"Bottle","Mezcal","Ilegal Reposado","ounces reposado mezcal, preferably ilegal"
"Bottle","Mezcal","Joven","ounce joven mezcal"
"Bottle","Mezcal","Joven","ounce joven mezcal (see note)"
"Bottle","Mezcal","Sombra","ounces sombra mezcal"
"Bottle","Port-Ruby","House Ruby Port","parts ruby port"
"Bottle","Port-Ruby","House Ruby Port","bottle ruby port"
"Bottle","Port-Ruby","House Ruby Port","ounces ruby port"
"Bottle","Port-Tawny","House Tawny Port","ounce (1 tablespoon) tawny port"
"Bottle","Rum","House Rum","cup rum"
"Bottle","Rum","House Rum","ounces rum"
"Bottle","Rum","House Rum","ounces of rum"
"Bottle","Rum","House Rum","ounce rum"
"Bottle","Rum-Amber","House Amber Rum","ounces aged rum"
"Bottle","Rum-Amber","House Amber Rum","cup aged rum or brandy"
"Bottle","Rum-Amber","House Amber Rum","ounces aged south american or caribbean white rum"
"Bottle","Rum-Amber","House Amber Rum","ounces (3 tablespoons) amber rum"
"Bottle","Rum-Amber","House Amber Rum","ounces amber rum"
"Bottle","Rum-Amber","House Amber Rum","ounces (1/4 cup) amber rum"
"Bottle","Rum-Amber","House Amber Rum","ounce añejo rum"
"Bottle","Rum-Amber","House Amber Rum","ounces golden rum"
"Bottle","Rum-Cachaça","House Cachaça","ounces cachaça"
"Bottle","Rum-Cachaça","House Cachaça","ounces cachaça or pineapple juice"
"Bottle","Rum-Cachaça","House Cachaça","cup cachaça"
"Bottle","Rum-Cachaça","House Cachaça","ounces (1/4 cup) cachaça"
"Bottle","Rum-Cachaça","House Cachaça","ounces cachaca (brazilian cane liquor)"
"Bottle","Rum-Cachaça","Oronoco","ounce oronoco rum or other dark rum"
"Bottle","Rum-Citrus","Bacardi Limón","ounces bacardi limón"
"Bottle","Rum-Dark","House Dark Rum","ounce dark rum"
"Bottle","Rum-Dark","House Dark Rum","part dark rum"
"Bottle","Rum-Dark","House Dark Rum","ounces dark rum"
"Bottle","Rum-Dark","House Dark Rum","cups dark rum"
"Bottle","Rum-Dark","House Dark Rum","oz. dark rum"
"Bottle","Rum-Dark","House Dark Rum","cup dark rum"
"Bottle","Rum-Dark","House Dark Rum","ounces (1/4 cup) dark rum"
"Bottle","Rum-Dark","House Dark Rum","ounce dark (or gold) rum"
"Bottle","Rum-Dark","House Dark Rum","bottle dark rum (1 liter), more as needed"
"Bottle","Rum-English Style","10 Cane Rum","cup 10 cane rum"
"Bottle","Rum-English Style","Gosling's Black Seal","ounces gosling’s black seal rum"
"Bottle","Rum-English Style","Gosling's Black Seal","ounces gosling's black seal rum"
"Bottle","Rum-English Style","Gosling's Black Seal","ounce gosling's black seal rum"
"Bottle","Rum-English Style","Lemon Hart 151","ounce (1 tablespoon) lemon hart 151-proof demerara rum"
"Bottle","Rum-English Style","Lemon Hart Rum","ounce lemon hart demerara rum"
"Bottle","Rum-Jamaican","Appleton Reserve","ounces jamaican rum, preferably appleton reserve"
"Bottle","Rum-Jamaican","Appleton Reserve","ounce gold rum (appleton’s estate reserve, zacapa, clément v.s.o.p., el dorado 12-year)"
"Bottle","Rum-Jamaican","Appleton v/x","ounces appleton v/x rum"
"Bottle","Rum-Jamaican","Banks 5 Island","ounces (1 cup) white rum, preferably banks 5 island"
"Bottle","Rum-Jamaican","Banks 5 Island","ounces (6 1/4 cups) banks 5 island rum (or substitute appleton estate reserve, mount gay black barrel, or bacardi 8)"
"Bottle","Rum-Jamaican","Banks 5 Island","ounce light rum (i had great results with banks’ 5 island)"
"Bottle","Rum-Jamaican","House Jamaican Rum","750-milliliter bottle dark jamaican rum"
"Bottle","Rum-Jamaican","Smith & Cross","ounce navy strength jamaican rum, preferably smith & cross"
"Bottle","Rum-Jamaican","Smith & Cross","ounce smith and cross jamaican rum"
"Bottle","Rum-Mango","Mango Rum","ounces mango rum (or substitute with 1 tablespoon mango purée and 1 ounce light rum)"
