"recipe.link","ingredient","ingredient.quantity","ingredient.as.written"
"/recipes/1016368-tequila-sour","Lemon","1","ounce fresh-squeezed lemon juice"
"/recipes/1016368-tequila-sour","Simple Syrup","1","scant teaspoon simple syrup"
"/recipes/1016368-tequila-sour","Angostura Orange Bitters","","Dash of Angostura orange bitters"
"/recipes/1016368-tequila-sour","DROP","1","teaspoon egg white (optional)"
"/recipes/1016368-tequila-sour","Orange","","Half-wheel of orange, for garnish"
"/recipes/1016386-jardin-fresca","Jalapeño-Infused Blanco Tequila","1","ounce jalapeño-infused blanco tequila (see notes)"
"/recipes/1016386-jardin-fresca","Cynar","½","ounce Cynar"
"/recipes/1016386-jardin-fresca","St-Germain","½","ounce St. Germain"
"/recipes/1016386-jardin-fresca","Lemon","½","ounce fresh lemon juice"
"/recipes/1016386-jardin-fresca","Simple Syrup","½","ounce simple syrup (see notes)"
"/recipes/1016386-jardin-fresca","Cucumber","2","cucumber slices"
"/recipes/1016386-jardin-fresca","House Celery Bitters","1","dash celery bitters"
"/recipes/1016386-jardin-fresca","Salt","","Salt"
"/recipes/1016386-jardin-fresca","Victoria Beer","4","ounces Victoria beer"
"/recipes/1016393-brunch-punch","House Gin","16","ounces (2 cups) gin"
"/recipes/1016393-brunch-punch","Campari","16","ounces (2 cups) Campari"
"/recipes/1016393-brunch-punch","House Dry Vermouth","16","ounces (2 cups) white vermouth"
"/recipes/1016393-brunch-punch","Grapefruit","48","ounces (6 cups) freshly squeezed grapefruit juice (juice of 5 fruits)"
"/recipes/1016393-brunch-punch","Cucumber","","Sliced cucumber and orange, or other citrus, for garnish"
"/recipes/1016369-rum-julep","Mint","10","mint leaves, plus a few sprigs for garnish"
"/recipes/1016369-rum-julep","Simple Syrup","2","teaspoons simple syrup"
"/recipes/1016369-rum-julep","DROP","","Crushed ice"
"/recipes/1016369-rum-julep","House White Rum","2","ounces light rum"
"/recipes/1016387-yukon-cornelius","Krogstad Aquavit","¾","ounce aquavit, preferably Krogstad"
"/recipes/1016387-yukon-cornelius","Del Maguey Vida","¾","ounce mezcal, preferably Del Maguey Vida"
"/recipes/1016387-yukon-cornelius","Peach Giffard","½","ounce peach liqueur, preferably Giffard"
"/recipes/1016387-yukon-cornelius","Ginger Syrup","½","ounce ginger syrup (see note)"
"/recipes/1016387-yukon-cornelius","Lemon","½","ounce fresh lemon juice, plus lemon wheel for garnish"
"/recipes/1016387-yukon-cornelius","Modelo Especial","2","ounces Modelo Especial beer"
"/recipes/1016387-yukon-cornelius","Ginger","","Candied ginger, for garnish"
"/recipes/1016394-chairmans-reserve","Cucumber","8","ounces (1 cup) cucumber juice, from about 1 1/2 cucumbers"
"/recipes/1016394-chairmans-reserve","Coconut Water","24","ounces (3 cups) coconut water"
"/recipes/1016394-chairmans-reserve","Banks 5 Island","8","ounces (1 cup) white rum, preferably Banks 5 Island"
"/recipes/1016394-chairmans-reserve","Frangelico","3","ounces Frangelico"
"/recipes/1016394-chairmans-reserve","Cucumber","","Cucumber slices for garnish"
"/recipes/1016383-high-five","Amaro Averna","1 ¼","ounces Averna amaro"
"/recipes/1016383-high-five","Lime","1 ¾","ounce fresh lime juice"
"/recipes/1016383-high-five","Simple Syrup","½","ounce simple syrup (see note)"
"/recipes/1016383-high-five","Snap","¼","ounce Snap liqueur"
"/recipes/1016383-high-five","Dogfish Head Indian Brown Ale","3","ounces Linden Street Old Brick Bitter or Dogfish Head Indian Brown Ale"
"/recipes/1016383-high-five","Orange","1","orange wheel, for garnish"
"/recipes/1016390-afton-club-punch","Lemon","4","lemons"
"/recipes/1016390-afton-club-punch","Sugar","¾","cup white sugar"
"/recipes/1016390-afton-club-punch","Genever","16","ounces (2 cups) genever"
"/recipes/1016390-afton-club-punch","House Riesling","16","ounces (2 cups) chilled German (or other) riesling, not too sweet"
"/recipes/1016390-afton-club-punch","Sparkling Water","16","ounces (2 cups) chilled sparkling water"
"/recipes/1016390-afton-club-punch","Nutmeg","","Nutmeg for garnishing"
"/recipes/1016279-bourbon-brule","Orange","1","medium navel orange"
"/recipes/1016279-bourbon-brule","Sugar","1","teaspoon sugar"
"/recipes/1016279-bourbon-brule","House Bourbon","3","ounces bourbon"
"/recipes/1016279-bourbon-brule","House Amontillado Sherry","1","ounce amontillado sherry"
"/recipes/1016279-bourbon-brule","House Liqueur Ginger","1","ounce ginger liqueur"
"/recipes/1016278-noreaster","Maple Syrup","1","ounce maple syrup"
"/recipes/1016278-noreaster","Lime","1","ounce lime juice, or more to taste"
"/recipes/1016278-noreaster","House Bourbon","4","ounces bourbon"
"/recipes/1016278-noreaster","Ginger Beer","2","ounces, approximately, cold ginger beer"
"/recipes/1016278-noreaster","Lime","","Lime slice"
"/recipes/1016280-bufala-negra","Turbinado Sugar","½","teaspoon turbinado sugar"
"/recipes/1016280-bufala-negra","Balsamic Vinegar","1","teaspoon good aged balsamic vinegar"
"/recipes/1016280-bufala-negra","Basil","5","basil leaves"
"/recipes/1016280-bufala-negra","House Bourbon","1 ½","ounces bourbon"
"/recipes/1016280-bufala-negra","Ginger Beer","2","ounces ginger beer"
"/recipes/1016276-bourbon-milk-punch","House Bourbon","1 ¼","ounces bourbon"
"/recipes/1016276-bourbon-milk-punch","House Dark Rum","½","ounce dark rum"
"/recipes/1016276-bourbon-milk-punch","Milk","2","ounces milk (use cream or half-and-half for a richer drink)"
"/recipes/1016276-bourbon-milk-punch","Vanilla Extract","⅛","ounce vanilla extract"
"/recipes/1016276-bourbon-milk-punch","Simple Syrup","½","ounce simple syrup (see note)"
"/recipes/1016276-bourbon-milk-punch","Nutmeg","","Dash of grated nutmeg"
"/recipes/1016228-jungle-bird","Simple Syrup","½","ounce simple syrup (see note)"
"/recipes/1016228-jungle-bird","Cruzan Blackstrap","1 ½","ounces blackstrap rum, preferably Cruzan"
"/recipes/1016228-jungle-bird","Campari","¾","ounce Campari"
"/recipes/1016228-jungle-bird","Pineapple","1 ½","ounces pineapple juice, fresh or a high-quality brand"
"/recipes/1016228-jungle-bird","Lime","½","ounce fresh lime juice"
"/recipes/1016228-jungle-bird","Pineapple","","Pineapple wedge, for garnish"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Candy Cap Mushrooms","2","ounce candy cap mushrooms"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","House High-Proof Vodka","12","ounces high-proof vodka"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Old Forester","1","ounce Old Forester bourbon"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Fernet-Branca","","½ ounce Fernet Branca"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Lemon","","¾ ounce fresh lemon juice"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Mushroom Tincture","","½ ounce mushroom tincture"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Steen's Syrup","","½ ounce Steen’s cane molasses syrup (mix of equal parts Steens Dark Molasses & simple syrup)"
"/recipes/1016175-lainey-collums-down-the-rabbit-hole","Basil Thai","4","Thai basil Leaves"
"/recipes/1016174-dave-arnolds-italiano-stalliano","House Vodka","2","ounces vodka"
"/recipes/1016174-dave-arnolds-italiano-stalliano","Galliano","2","ounces 84 6/10-proof Galliano"
"/recipes/1016174-dave-arnolds-italiano-stalliano","DROP","2","ounces water (use the freshest water possible; avoid water that has a bad taste or aroma)"
"/recipes/1016174-dave-arnolds-italiano-stalliano","Orange","3","ounces orange juice (fresh-squeezed and strained of pulp)"
"/recipes/1016174-dave-arnolds-italiano-stalliano","Lemon","1","ounce lemon juice (fresh-squeezed and strained of pulp)"
"/recipes/1016174-dave-arnolds-italiano-stalliano","Salt","1","pinch salt"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","House Cognac","6","ounces cognac"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Ardbeg","3","ounces Ardbeg whisky"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Tempus Fugit Crème de Cacao","3","ounces Tempus Fugit crème de cacao"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","DROP","6","ounces water"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Milk","7","ounces milk"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Cream","1","ounce cream"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Egg","3","ounces egg white"
"/recipes/1016173-jamie-boudreaus-chocolate-milk","Angostura Aromatic Bitters","","½ ounce Angostura bitters."
"/recipes/1016188-tony-conigliaros-spitfire","House Cognac","","1½ ounces cognac"
"/recipes/1016188-tony-conigliaros-spitfire","Lemon","","¾ ounce lemon juice"
"/recipes/1016188-tony-conigliaros-spitfire","Egg","","¾ ounce egg white"
"/recipes/1016188-tony-conigliaros-spitfire","Simple Syrup","","½ ounce sugar syrup"
"/recipes/1016188-tony-conigliaros-spitfire","Crème de Pêche","","½ ounce crème de pêche"
"/recipes/1016188-tony-conigliaros-spitfire","House Dry White","","¾ ounce dry white wine."
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","Sugar","2","cups sugar"
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","DROP","1","cup water"
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","Cinnamon","5","sticks cinnamon."
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","Neisson Rhum Agricole","4","ounces Neisson Blanc Rhum Agricole"
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","Lime","2","ounces fresh lime juice"
"/recipes/1016172-todd-mauls-rhum-agricole-daiquiri","Burnt Cinnamon Syrup","1","ounce burnt cinnamon simple syrup"
"/recipes/1016121-irish-coffee","Demerara Sugar","1","cup Demerara sugar"
"/recipes/1016121-irish-coffee","Cream","","Heavy cream, preferably Trickling Springs or another high-quality brand"
"/recipes/1016121-irish-coffee","Powers Gold Label","1 ½","ounces Irish whiskey, preferably Powers Gold Label"
"/recipes/1016121-irish-coffee","Coffee","4","ounces hot, freshly made coffee"
"/recipes/1016121-irish-coffee","Nutmeg","","Dash of ground nutmeg"
"/recipes/1016108-the-sanctimonious-kid","House Blanco Tequila","6","ounces 100 percent agave blanco tequila"
"/recipes/1016108-the-sanctimonious-kid","Bay Leaf","4 to 6","bay leaves"
"/recipes/1016108-the-sanctimonious-kid","Pimm’s no. 1","¾","ounce Pimm’s No. 1"
"/recipes/1016108-the-sanctimonious-kid","Blood Orange","¾","ounce fresh-squeezed blood orange juice plus a twist of blood orange, for garnish"
"/recipes/1016108-the-sanctimonious-kid","Lime","¼","ounce fresh-squeezed lime juice"
"/recipes/1016108-the-sanctimonious-kid","Club Soda","","Club soda"
"/recipes/1016028-the-improved-dirty-martini","Noilly Prat","375","milliliters dry vermouth, preferably Noilly Prat"
"/recipes/1016028-the-improved-dirty-martini","Olives Cerignola","½","cup chopped Cerignola olives"
"/recipes/1016028-the-improved-dirty-martini","Perry’s Tot Gin","1 ½","ounces navy-strength gin, preferably Perry’s Tot"
"/recipes/1016028-the-improved-dirty-martini","Olive Oil","","A few drops of extra-virgin olive oil"
"/recipes/1016028-the-improved-dirty-martini","Olives Mixed","","Mixed olives, for serving"
"/recipes/1016010-stone-fence","Old Overholt","1","shot Old Overholt (or whatever rye you like)"
"/recipes/1016010-stone-fence","DROP","","Ice"
"/recipes/1016010-stone-fence","Angostura Aromatic Bitters","3","dashes Angostura bitters"
"/recipes/1016010-stone-fence","Apple Cider","8 to 10","ounces cider"
"/recipes/1016010-stone-fence","Apple","","Apple slice for garnish"
"/recipes/1016009-boulevardier","Maker's Mark","1 ½","ounces bourbon, preferably Maker’s Mark"
"/recipes/1016009-boulevardier","Dolin Rouge","¾","ounce sweet vermouth, preferably Dolin Rouge"
"/recipes/1016009-boulevardier","Campari","¾","ounce Campari"
"/recipes/1016009-boulevardier","Orange","","Twist of orange peel, for garnish"
"/recipes/1015790-turkey-legs","Honey","¼","cup honey"
"/recipes/1015790-turkey-legs","House V.S.O.P.","1","ounce brandy, preferably V.S.O.P."
"/recipes/1015790-turkey-legs","Cruzan Blackstrap","½","ounce blackstrap rum, such as Cruzan or Gosling’s"
"/recipes/1015790-turkey-legs","Lime","½","ounce fresh lime juice"
"/recipes/1015790-turkey-legs","St. Elizabeth Allspice Dram","¾","ounce St. Elizabeth Allspice Dram"
"/recipes/1015790-turkey-legs","Mint","","Sprig of fresh mint, for garnish"
"/recipes/1015790-turkey-legs","Peychaud’s Bitters","","Dash of Peychaud’s Bitters"
"/recipes/1015796-grapefruit-tini","Sugar","1","cup sugar"
"/recipes/1015796-grapefruit-tini","Grapefruit","4","ounces freshly squeezed grapefruit juice"
"/recipes/1015796-grapefruit-tini","House Vodka","2","ounces high-quality vodka"
"/recipes/1015796-grapefruit-tini","House Prosecco","1 ½","ounces prosecco"
"/recipes/1015801-red-rooster","Ocean Spray Cran-Tangerine Juice","48","ounces (about 3/4 of a 64-ounce container) Ocean Spray Cran-Tangerine Juice Drink (see note)"
"/recipes/1015801-red-rooster","Orange Juice Concentrate","6","ounces frozen orange juice concentrate, defrosted"
"/recipes/1015801-red-rooster","House Vodka","2","cups vodka"
"/recipes/1015782-bitter-coffee","Cynar","1 ½","ounces Cynar"
"/recipes/1015782-bitter-coffee","House Dark Rum","½","ounce dark rum"
"/recipes/1015782-bitter-coffee","Maple Syrup","½","ounce maple syrup, preferably grade B"
"/recipes/1015782-bitter-coffee","Egg","1","egg yolk"
"/recipes/1015782-bitter-coffee","Vanilla Extract","5","drops vanilla extract"
"/recipes/1015782-bitter-coffee","Coffee","3","ounces hot, strong coffee"
"/recipes/1015782-bitter-coffee","Nutmeg","1","whole nutmeg, or pinch ground nutmeg, for garnish"
"/recipes/1015795-mott-and-mulberry","Demerara Sugar","1","cup Demerara sugar"
"/recipes/1015795-mott-and-mulberry","Honeycrisp Apple","2","Honeycrisp apples"
"/recipes/1015795-mott-and-mulberry","Old Overholt","1","ounce rye whiskey, preferably Old Overholt"
"/recipes/1015795-mott-and-mulberry","Luxardo Amaro Abano","1","ounce Luxardo Amaro Abano"
"/recipes/1015795-mott-and-mulberry","Lemon","½","ounce fresh lemon juice"
"/recipes/1015800-bad-day-at-work","Sugar","1","cup sugar"
"/recipes/1015800-bad-day-at-work","Bluecoat Gin","1 ½","ounces Bluecoat or other high-quality gin"
"/recipes/1015800-bad-day-at-work","Clementine","4","ounces clementine orange juice (from about 3 to 5 clementines)"
"/recipes/1015800-bad-day-at-work","Seltzer Water","","Generous splash of seltzer"
"/recipes/1015793-sweet-potato-dreams","Canned Sweet Potatoes","1","8-ounce can diced sweet potatoes in light syrup"
"/recipes/1015793-sweet-potato-dreams","House Spiced Rum","2","ounces spiced rum"
"/recipes/1015793-sweet-potato-dreams","Egg","1","egg"
"/recipes/1015793-sweet-potato-dreams","Maple Syrup","½","ounce maple syrup, preferably grade B"
"/recipes/1015793-sweet-potato-dreams","Cream","","Whipped cream, slightly sweetened"
"/recipes/1015793-sweet-potato-dreams","Cinnamon","1","cinnamon stick, or pinch ground cinnamon, for garnish"
"/recipes/1015799-green-tea-punch","Sencha Tea","22","ounces (2 3/4 cups) freshly brewed hot Sencha tea, preferably In Pursuit of Tea brand"
"/recipes/1015799-green-tea-punch","Mint Green Tea","22","ounces (2 3/4 cups) freshly brewed hot Moroccan mint green tea, preferably Stash brand"
"/recipes/1015799-green-tea-punch","Demerara Sugar","16","ounces (2 cups) Demerara sugar"
"/recipes/1015799-green-tea-punch","Lime","20","ounces (2 1/2 cups, from about 10 large limes) freshly squeezed lime juice"
"/recipes/1015799-green-tea-punch","Banks 5 Island","50","ounces (6 1/4 cups) Banks 5 Island Rum (or substitute Appleton Estate Reserve, Mount Gay Black Barrel, or Bacardi 8)"
"/recipes/1015799-green-tea-punch","Nutmeg","1","whole nutmeg, or pinch ground nutmeg, for garnish"
"/recipes/1015792-snowbirds-and-townies","Sugar","1","cup sugar"
"/recipes/1015792-snowbirds-and-townies","Cinnamon","2 or 3","cinnamon sticks"
"/recipes/1015792-snowbirds-and-townies","Fernet-Branca","1 ½","ounces Fernet Branca"
"/recipes/1015792-snowbirds-and-townies","Orange","¾","ounce fresh orange juice"
"/recipes/1015792-snowbirds-and-townies","Lemon","½","ounce fresh lemon juice"
"/recipes/1015792-snowbirds-and-townies","Tempus Fugit Crème de Cacao","½","ounce Crème de Cacao, preferably Tempus Fugit"
"/recipes/1015792-snowbirds-and-townies","Pierre Ferrand Dry Curaçao","¼","ounce Pierre Ferrand Dry Curaçao"
"/recipes/1015798-christmas-spritz","House Prosecco","3","ounces well-chilled prosecco"
"/recipes/1015798-christmas-spritz","Pomegranate Juice","3","ounces well-chilled pure pomegranate juice"
"/recipes/1015798-christmas-spritz","Lime","","Lime twist, for garnish"
"/recipes/1015784-act-of-faith","Appleton Reserve","1 ½","ounces Jamaican rum, preferably Appleton Reserve"
"/recipes/1015784-act-of-faith","House Sherry","½","ounce PX sherry"
"/recipes/1015784-act-of-faith","Cruzan Blackstrap","½","ounce blackstrap rum, such as Cruzan or Gosling’s"
"/recipes/1015784-act-of-faith","Angostura Aromatic Bitters","¼","ounce Angostura bitters"
"/recipes/1015784-act-of-faith","Orange","","Orange twist, for garnish"
"/recipes/1015791-the-giving-tree","House Cabernet","1","ounce red wine (a cabernet, zinfandel or similarly bold red)"
"/recipes/1015791-the-giving-tree","Drambuie","1","ounce Drambuie"
"/recipes/1015791-the-giving-tree","House Rye","1","ounce rye whiskey"
"/recipes/1015791-the-giving-tree","Fee Brothers Old-Fashioned Bitters","2","dashes Fee Brothers Old Fashioned Aromatic Bitters (or 3 dashes Angostura bitters)"
"/recipes/1015797-tabard-cocktail","Milagro Reposado","1 ½","ounces reposado tequila, preferably Milagro"
"/recipes/1015797-tabard-cocktail","Los Arcos Dry Sherry","½","ounce dry amontillado sherry, preferably Los Arcos from Lustau"
"/recipes/1015797-tabard-cocktail","Drambuie","½","ounce Drambuie liqueur"
"/recipes/1015797-tabard-cocktail","Regan’s Orange Bitters","2","dashes Regan’s bitters, or other orange bitters"
"/recipes/1015797-tabard-cocktail","Orange","","Twist of orange peel, for garnish"
"/recipes/1015797-tabard-cocktail","Thyme","","Small sprig of fresh thyme, for garnish"
"/recipes/1015773-spiced-port-punch","House Ruby Port","3","parts ruby port"
"/recipes/1015773-spiced-port-punch","House Brandy","2","parts brandy"
"/recipes/1015773-spiced-port-punch","House Dark Rum","1","part dark rum"
"/recipes/1015773-spiced-port-punch","Spiced Clementine Syrup","1","part spiced clementine syrup"
"/recipes/1015773-spiced-port-punch","Cranberry Juice","1","part cranberry juice"
"/recipes/1015773-spiced-port-punch","Clementine","","One handful clementine peels (with a paring knife, remove as much pith as possible)."
"/recipes/1015759-cranberry-cordial","Sugar","340","grams sugar (1 1/2 cups)"
"/recipes/1015759-cranberry-cordial","Cranberries","12","ounces cranberries (3 cups)"
"/recipes/1015759-cranberry-cordial","House Vodka","1","1-liter bottle vodka"
"/recipes/1015759-cranberry-cordial","Lime","","Strips of lime or orange zest (optional)"
"/recipes/1015395-josey-packards-autumnal-old-fashioned","Cinnamon Syrup","½","teaspoon cinnamon simple syrup"
"/recipes/1015395-josey-packards-autumnal-old-fashioned","Laird's Bonded Apple Brandy","2 ¼","ounces Laird’s bonded applejack"
"/recipes/1015395-josey-packards-autumnal-old-fashioned","Simple Syrup","","Scant 1/2 ounce Demerara simple syrup"
"/recipes/1015395-josey-packards-autumnal-old-fashioned","Fee Brothers Barrel-Aged Old-Fashioned Bitters","","Dash of Fee Brothers Whiskey Barrel-aged bitters"
"/recipes/1015395-josey-packards-autumnal-old-fashioned","Orange","","Orange peel"
